,Unnamed: 0.1,Unnamed: 0,comment,label
0,469,477,转眼到了21世纪，电灯取代了蜡烛，于是：君无戏言，这些王八果真全当了官！,1
1,33,209,你内张脸长地比盆骨都标志。,1
2,131,418,:诚信互听，在线秒、回/抱拳从此我们彼此互听心声，成为心灵的挚友！,1
3,72,461,炒股进群————【７４７１ /衰６４９７】想学习炒股的进群,1
4,78,19,你以为我的防和你木的处女莫一样说破就破吗,1
5,113,17,电影王朝 www.dywc.net 欢迎观看最新电影，电视剧，综艺节目， 更新很及时！,1
6,275,361,晚上吃这么多泡芙会不会做个油腻腻的梦?????,0
7,185,74,多读读史书看看百家讲坛本来守将就不是蓝玉,0
8,262,336,刚才看CCTV13，看到很多人开始抢购世界末日的蜡烛了，唉。。。一声叹息！,0
9,9,9,梅西就是牲口,1
10,322,382,啥B,1
11,430,319,这就急了，呦西大佐只配吃我的粪便,1
12,297,334,??！香港?！//我们已经买了机票和入场票啦，支持@非常林奕华，不见不散！我脆弱?？?是我太??了？在破碎的家庭?，父?的缺席，母?的失常，把我??成丈夫、?子和哥哥。所以眼前??婚?，到底是我在迎娶？?是出嫁？//,0
13,463,87,回复??周老??心！！！注意身体哟！祝早日康复！,0
14,82,210,狗腿子,1
15,440,58,：啊…成都的票价降了诶，以前四十五十这两年都是三十几，还有二十几的,0
16,30,266,教开网店，联系QQ：308506620＝,1
17,101,446,那些偏远地方的孩子就不是人了吗 太过分了,0
18,412,91,屌佢老味琴日见到哟西话自己腹股沟不适真係想问声佢係咪烂春袋，去到嘎仔底盘精神到嗨咁，搵嗨屎信你，正柒头,1
19,180,83,初三初四住到三亚的蓝海银滩，那真是三星级的收费，六七十年代招待所的设施。,0
20,356,374,真球迷早就去日本舔它鞋底了，你咋还在这儿？,1
21,249,97,傻逼韩粉们，傻眼了吧。。。,1
22,172,220,鄙视方舟子，他是美国人养的一条疯狗，一下咬这个，一下咬那个，当年xxx雇人用铁锤把他砸死就好了，现在这样半脑瘫不脑瘫的，给社会添麻烦。,1
23,376,404,尊严只在剑锋之上，真理只在大炮射程之内,0
24,0,469,好多头发好顺滑，秃头女孩我本人羡慕了,0
25,347,215,云南缅北一家人,1
26,11,430,不管那个男人爱谁，他还是选择了家庭，小三好当，但生活不是用来挥霍的,0
27,93,248,：啊…成都的票价降了诶，以前四十五十这两年都是三十几，还有二十几的,0
28,277,340,http://url.cn/0P1LXX ◆喜欢请收听@3,1
29,195,229,白白浪费5年的青春，最后换来这么一句话，值么？,0
30,266,125,不得不说包上恩太好看了,0
31,182,165,犹太人梅西,1
32,421,88,梅西球迷还不如日本的鸭子,1
33,209,244,?捏嫲，退钱！,1
34,55,173,太没人性了畜生,1
35,227,284,包括你的妻子，更主要是孩子，甚至是你孩子的孩子，孩子的孩子的孩子，当然也包括你及你的小三。,0
36,18,412,《》全集高清观看：http://url.cn/2BRCnG  。,1
37,432,54,http://url.cn/4JEFQh房价骤降，教育改革，食品安全的具体解决方法，认同的帮忙转发下,1
38,154,118,【网易读书】曹长青：韩寒，中国文坛的最大骗局 http://url.cn/4QwL66,1
39,75,15,三亚的海边和小岛很美，城市里有很多流浪的人，还有满城的槟榔血。,0
40,39,75,没必要平息了，只是个过期的犹太肖子而已。平息是为了什么？都是废了没什么价值的人了，难道是为了继续割球迷韭菜么？,1
41,399,259,恶搞歪歌《为什么你的老婆比我多》很搞笑，希望大家喜欢！,1
42,175,145,来了 霉稀这辈子都不会草拟的烂鼻哈,1
43,472,71,好看，希望我们家报子今年积极营业,0
44,79,398,多读读史书 看看百家讲坛 本来守将就不是蓝玉,0
45,304,107,很遗憾因为腹股沟有伤没能在香港站的友谊赛中出场，我的伤处发肿并有痛感。所以我没握手，因为腹股沟疼不握手，原来是用沟子握手,1
46,393,201,梅西这个人，非常亲以色列、亲犹太人，他曾专门到过以色列哭墙做过祈祷。一般人不会这么干，而这么干的目的就是想加入核心犹太人圈子。,1
47,90,324,《爱情呼叫转移Ⅱ：爱情左右》免费下载：http://url.cn/1VBU77,1
48,381,337,日本女优多,1
49,245,239,推荐一篇文章《忽悠的原理和技巧》http://url.cn/0U2Alg,1
50,390,303,美不胜收！,0
51,76,457,南美乡下佬，死返阿根廷啦,1
52,321,142,道歉有用~要警察干什么~我把你儿子揍成伤残~给你道歉可以不~MLGB~,1
53,193,453,又要?@立威廉少?去?地工作啦。。到?北京?啦,0
54,203,218,演技加持，观众青睐，品牌喜欢，行走的剧名，大写的实力,0
55,173,109,蛋！黄！难道是要做煎饼果子？你们觉得呢？,0
56,73,332,还好你是记者，可以在网上传播，要我们就惨了！！！,0
57,307,133,被一个卖苦力踢球的惹得大怒，这是悲哀的。——庄子,1
58,468,121,畜生啊，真是杯具啊，其父母连这都不如啊！,1
59,225,280,说梅西傲慢无礼的自己去找原视频原直播看，难道你要梅西两个小时脸上一直笑吗？对于其他谣言也都有视频澄清，但是你们不看，你们就是要给梅西打上不尊重的标签,0
60,137,441,云南缅北一家人,1
61,77,370,大家看看 http://url.cn/06Zg7N  不买也可以来凑凑人气！,1
62,63,268,饺子热线18831155521充话费，充Q币请到http://url.cn/0AemQD有惊喜大礼相送，先到先得！,1
63,268,223,好急啊，像你这种的小件货扔路上踩一脚我都晦气，滚回下水道好吗呦西的小老鼠,1
64,153,445,他就是条犹太人的狗让他咬哪他咬哪,1
65,456,308,演技加持，观众青睐，品牌喜欢，行走的剧名，大写的实力,0
66,70,299,麻麻们收藏了！,0
67,375,438,都他妈RMB惹的货。。。,1
68,341,226,推荐一篇文章《忽悠的原理和技巧》http://url.cn/0U2Alg,1
69,388,467,有评论还说最后的赛车片段太长，可我当时看的真的好紧张，热血沸腾！,0
70,299,386,一个巴掌拍不响，如果男人沒有出轨的心，怎么会有麻烦呢？,0
71,473,106,广西穷是有原因的,1
72,461,99,国人总有一种母语羞耻症，国内翻拍永远被喷，个人感觉张晚意演得挺好的,0
73,332,462,我爸成了家中最?吃甜?的一?，他?了很多甜筒雪?回?。我??：「不用??？」爸答：「不用。用八?通嘟的。」真可?,0
74,419,13,来自官方的感谢信一封，不得不说，在电影院看的时候真的爱上了巴音布鲁克，不愧是春节档唯一大制作，视听享受,0
75,15,440,都他妈RMB惹的货。。。,1
76,457,149,为了一个小哟西可把你急哭了 舔死了,1
77,370,64,是这只duck治好了梅子的括约肌和腹股沟，所以才这么开心亲密。没看在hk连特首都拒绝握手吗？那时候梅子下面很疼呢。,1
78,19,180,card=47994账户密码泄露#\rhttp://url.cn/2ZSsBy ,1
79,398,309,广东人的优越感真不知道怎么这么多，一会又谁看春晚啊，一会又谁家过年吃饺子啊，你不看就是有人看，他们不配吗？,1
80,318,35,我草你妈，这个社会真的是不知道怎么说了，你们这些狗日的老师，还有医生，一大半都是你妈狗屎,1
81,56,73,去三亚不被宰那才叫怪，吃海鲜、坐车、买东西、烧香、等等。,0
82,210,6,无网看能忍几天。,0
83,338,256,看到烂货！就不放口！,1
84,317,12,晚上吃这么多泡芙会不会做个油腻腻的梦?????,0
85,104,265,我可真不能再在地铁上睡着了！我不想每个礼拜都丢一个手机啊！坚持，一会回家睡！,0
86,157,394,跪下给哟西口!,1
87,406,49,我给狗扔块骨头它都知道冲我摇摇尾巴，你算什么啊,1
88,25,347,方舟子就是个大傻逼,1
89,384,212,我们还本想去海南耍，看来也就算了，咋可没有那么多钱被它们宰,0
90,324,221,好急啊，像你这种的小件货扔路上踩一脚我都晦气，滚回下水道好吗呦西的小老鼠,1
91,140,455,我付钱你爽我也爽而已！,1
92,42,175,查清楚了，梅西是日本的后裔，阿根廷太多日本人了，不打激素，就和日本天皇差不多高,1
93,248,358,我也记得前不久在北京，还在巴士上掀开窗帘打招呼，还给冲进球场的小伙子签名拥抱不知道为啥这次在香港跟北京之行相比就离了大谱,0
94,296,120,【2012韩版女式新款包包女包大容量包单肩斜挎包时尚包包手提包】http://url.cn/28dYwJ,1
95,291,136,查清楚了，梅西是日本的后裔，阿根廷太多日本人了，不打激素，就和日本天皇差不多高,1
96,208,231,嗨，在我们学校这TM太正常了。。。,1
97,204,272,"吃好,喝好,红包拿好[嘻嘻]",0
98,320,170,太不会写文案了啊啊啊，看视频吧就！,0
99,311,65,如果真是明码标价，那么应该不算宰客。,0
