低素质就是低素质，或许你可以换个词，低情商，或者你再换个词，美帝走狗,辱骂,
日本女优多,歧视,
被一个卖苦力踢球的惹得大怒，这是悲哀的。——庄子,辱骂,
狗腿子,辱骂,
为了一个小哟西可把你急哭了舔死了,辱骂,
哈哈哈中国球迷世界上膝盖最软的,辱骂,
梅西就是牲口,辱骂,
梅西这个人，非常亲以色列、亲犹太人，他曾专门到过以色列哭墙做过祈祷。一般人不会这么干，而这么干的目的就是想加入核心犹太人圈子。,歧视,
屌佢老味琴日见到哟西话自己腹股沟不适真係想问声佢係咪烂春袋，去到嘎仔底盘精神到嗨咁，搵嗨屎信你，正柒头,辱骂,
犹太人梅西,歧视,
一流的香港二流的比赛下流的梅稀,辱骂,
?捏嫲，退钱！,辱骂,
没必要平息了，只是个过期的犹太肖子而已。平息是为了什么？都是废了没什么价值的人了，难道是为了继续割球迷韭菜么？,歧视,
查清楚了，梅西是日本的后裔，阿根廷太多日本人了，不打激素，就和日本天皇差不多高,歧视,
我早就看梅西面相不像个好人了，真的就是出生,辱骂,
那么喜欢小日本就去多喝点废核水,歧视,
让梅狗别再来中国不欢迎,辱骂,
南美乡下佬，死返阿根廷啦,歧视,
他就是条犹太人的狗让他咬哪他咬哪,歧视,
呦西呦西一会儿开踢先发道歉装个小芘,辱骂,
这个小日子这么有名吗，都知道他是鸭子,辱骂,
是这只duck治好了梅子的括约肌和腹股沟，所以才这么开心亲密。没看在hk连特首都拒绝握手吗？那时候梅子下面很疼呢。,色情污秽,
梅西球迷还不如日本的鸭子,辱骂,
很遗憾因为腹股沟有伤没能在香港站的友谊赛中出场，我的伤处发肿并有痛感。所以我没握手，因为腹股沟疼不握手，原来是用沟子握手,色情污秽,
梅西和它的球迷都是牲口,辱骂,
这就急了，呦西大佐只配吃我的粪便,辱骂,
来了霉稀这辈子都不会草拟的烂鼻哈,色情污秽,
跪下给我舔,色情污秽,
不是梅毒激素侏儒双亲墓杯?,辱骂,
跪下给哟西口!,色情污秽,
不知道请出穆勒和格策能不能镇住潘帕斯侏儒和他的野勾粉丝们,辱骂,
你家祖坟多的装不完了是吧,辱骂,
音道撕裂嘛，哟西日常,色情污秽,
符合我对梅结晶邪教群体的刻板印象,歧视,
大过年的你家不出点白事我是不认可的,辱骂,
好急啊，像你这种的小件货扔路上踩一脚我都晦气，滚回下水道好吗呦西的小老鼠,辱骂,
微博的女的是跪得真快，真能舔,歧视,
真球迷早就去日本舔它鞋底了，你咋还在这儿？,辱骂,
忠义两难全，梅西好大儿。你是这个,辱骂,
梅西是你爹是不，满地都可以看到你跪下的影子,辱骂,
预支你妈，饺子不速冻跟个啥笔一样天天包？,辱骂,
广东人的优越感真不知道怎么这么多，一会又谁看春晚啊，一会又谁家过年吃饺子啊，你不看就是有人看，他们不配吗？,歧视,
啥南北棒子对轰？,歧视,
你们外地人来给我们造成了多大的影响啊白天堵车晚上扰民的,歧视,
我是正黄旗的，你这臭外地的！,歧视,
云南缅北一家人,歧视,
让一让他，毕竟在四五线城市开演唱会太掉身价了。,歧视,
那太好了，我们南方人就是看不惯北方人，你们那口音在我们这就是人见人打的程度。,歧视,
你以为我的防和你木的处女莫一样说破就破吗,辱骂,
广西穷是有原因的,歧视,
你这比养的，要不是国家强大了，没人敢欺负了，才这么和平，你真是不知足。你就该被扔到战争地区，让你吃个饭都不安宁,辱骂,
狗子过年领狗粮了吗？,辱骂,
殖人只会围中救爹捏,辱骂,
殖人不敢面对现实,辱骂,
\r\nQQ群139435310【神话丶失去你又何妨ゝ】,广告骚扰,
都他妈RMB惹的货。。。,辱骂,
【石家庄博大皮肤病医院】,广告骚扰,
你2B我忍了，但你能不能有点限度。,辱骂,
www.zrlhb.com自然绿环保，专业环保工程，环保批文，环保手续办理等!,广告骚扰,
潮流女装店铺地址,广告骚扰,
最近连股市也疯狂了，炒股的朋友来一起玩玩【93443984】,广告骚扰,
大家看看,广告骚扰,
方就是一个二bcnm社会垃j,辱骂,
方方直接参与代笔《儿子韩寒》？,辱骂,
